@relation quotepairs
@attribute unigram_lex_quote_prob real
@attribute unigram_lex_antiquote_prob real
@attribute unigram_lex_diff real
@attribute unigram_lex_quote1_more_likely integer
@attribute bigram_lex_quote_prob real
@attribute bigram_lex_antiquote_prob real
@attribute bigram_lex_diff real
@attribute bigram_lex_quote1_more_likely integer
@attribute trigram_lex_quote_prob real
@attribute trigram_lex_antiquote_prob real
@attribute trigram_lex_diff real
@attribute trigram_lex_quote1_more_likely integer
@attribute unigram_syn_quote_prob real
@attribute unigram_syn_antiquote_prob real
@attribute unigram_syn_diff real
@attribute unigram_syn_quote1_more_likely integer
@attribute bigram_syn_quote_prob real
@attribute bigram_syn_antiquote_prob real
@attribute bigram_syn_diff real
@attribute bigram_syn_quote1_more_likely integer
@attribute trigram_syn_quote_prob real
@attribute trigram_syn_antiquote_prob real
@attribute trigram_syn_diff real
@attribute trigram_syn_quote1_more_likely integer
@data
1.6442127922172686e-57,2.5847981923673742e-56,-2.4203769131456474e-56,0,6.6311590162968126e-61,1.4383255421884739e-62,6.4873264620779657e-61,1,3.7080474088032627e-48,7.8924402738103231e-48,-4.1843928650070604e-48,0,1.9073415874159288e-33,1.4945915197608336e-31,-1.4755181038866743e-31,0,2.0715265424651812e-30,4.6460250873031516e-32,2.0250662915921495e-30,1,5.4441179314453174e-24,6.9967684810653156e-24,-1.5526505496199982e-24,0
4.1929120739905194e-27,3.3212552281244341e-27,8.7165684586608525e-28,1,2.5156203131608998e-30,2.4031026180394239e-31,2.2753100513569574e-30,1,2.9835155076027114e-20,4.451435031881587e-22,2.9390011572838956e-20,1,8.8036177630204694e-19,7.0053849318734475e-20,8.103079269833125e-19,1,1.6634348188725736e-19,6.2595459524995339e-20,1.0374802236226202e-19,1,4.2651318784689607e-12,8.8582481937801569e-13,3.3793070590909451e-12,1
1.6116116093026917e-85,3.2224237946867755e-100,1.6116116093026886e-85,1,7.2810947526257739e-97,2.7334864571650745e-111,7.2810947526257468e-97,1,7.583575888778037e-78,3.3997763635020119e-91,7.5835758887776966e-78,1,4.0659256959817977e-42,8.8171545505403223e-47,4.0658375244362922e-42,1,1.6105742587821229e-37,5.6862732064330629e-48,1.6105742587252603e-37,1,1.9209176063991754e-26,3.7558999085481652e-33,1.9209172308091845e-26,1
1.1663991517527245e-55,1.0782463519912992e-69,1.1663991517527136e-55,1,2.0750745218852396e-62,5.7356667890205153e-77,2.075074521885234e-62,1,1.5488433582416124e-48,2.7882864995805226e-64,1.5488433582416121e-48,1,1.2712960255508086e-36,4.3008934259538997e-45,1.2712960212499152e-36,1,3.3821787766954003e-37,4.2080508737348981e-51,3.3821787766953581e-37,1,6.2007892403354162e-27,5.0200006444440207e-37,6.2007892398334162e-27,1
8.1811713214053713e-51,1.4575123932708811e-45,-1.4575042120995597e-45,0,8.8757887800166878e-55,1.3294017018063806e-48,-1.3294008142275026e-48,0,1.7156898226303092e-45,2.2012396102391434e-42,-2.1995239204165131e-42,0,3.788282394523888e-30,5.0940987389466928e-19,-5.0940987389088098e-19,0,3.1368092599699905e-33,4.2811139651662799e-17,-4.2811139651662792e-17,0,2.2125075035604141e-23,2.076607022235641e-12,-2.076607022213516e-12,0
4.3540890597328744e-19,7.7176149186785953e-26,4.3540882879713824e-19,1,3.745437505248593e-15,1.9100003870972802e-22,3.745437314248554e-15,1,2.3081258626094451e-13,2.3565017563770074e-17,2.3078902124338077e-13,1,2.6916170856173223e-13,5.3157215342018885e-19,2.691611769895788e-13,1,2.0640648862433739e-13,1.0592562579198371e-21,2.0640648756508114e-13,1,8.807527571365899e-10,2.6134324477425656e-15,8.8075014370414217e-10,1
1.9623944640706017e-45,1.3738598292833018e-37,-1.3738598096593572e-37,0,2.6534939933052083e-44,1.3528182459881621e-35,-1.3528182433346681e-35,0,4.3967417250383735e-37,9.7823402649616753e-27,-9.7823402645220014e-27,0,3.4051433741908646e-22,1.6789281673158038e-22,1.7262152068750608e-22,1,2.2918126649622804e-24,8.7146154316198369e-19,-8.7145925134931866e-19,0,9.6004906065209655e-16,1.4965162586393719e-14,-1.4005113525741623e-14,0
2.4917914934432052e-44,1.1750669832888538e-41,-1.1725751917954107e-41,0,9.5107725232186627e-45,7.4412005209880324e-48,9.5033313226976743e-45,1,7.5951034700737795e-36,1.0126133519681074e-35,-2.5310300496072945e-36,0,2.7636374159551805e-21,2.6220642061256114e-25,2.7633752095345678e-21,1,1.123380405699362e-20,6.1471330429518734e-25,1.1233189343689325e-20,1,7.9196789970858303e-17,2.7215450395082956e-17,5.1981339575775345e-17,1
2.8078866579048406e-58,4.2575644072517903e-58,-1.4496777493469497e-58,0,5.7098288269750421e-65,6.4708004308840111e-63,-6.4137021426142602e-63,0,1.9010244129845786e-52,2.0419923684357493e-49,-2.0400913440227647e-49,0,3.0873688744416033e-28,4.3600333834095028e-36,3.0873688308412693e-28,1,8.2001962451395532e-27,1.0477318510665055e-33,8.2001951974077017e-27,1,2.6029906846479055e-19,4.9020837950935502e-26,2.6029901944395258e-19,1
1.0873075119396059e-40,5.0502751973503001e-35,-5.0502643242751812e-35,0,6.669469001207712e-41,1.9534088899978516e-37,-1.9527419430977308e-37,0,1.6819388870579737e-36,1.2744251592933671e-28,-1.2744251424739782e-28,0,3.3284023362421262e-24,1.7925368794621776e-24,1.5358654567799487e-24,1,8.1584079928029372e-28,9.2647806777474655e-24,-9.2639648369481845e-24,0,7.9962717248293726e-20,2.3417179085801909e-17,-2.3337216368553616e-17,0
1.3793310226964217e-34,1.8668284735454684e-34,-4.874974508490467e-35,0,8.3105878897979292e-36,4.229473210243189e-38,8.2682931576954975e-36,1,8.9420977931178338e-30,3.684911782314901e-31,8.5736066148863443e-30,1,2.5331441987344051e-25,3.988125921793736e-24,-3.7348115019202955e-24,0,2.3787292674584024e-24,1.2646715373712692e-23,-1.0267986106254288e-23,0,9.2974284651764297e-19,8.1596567264063418e-18,-7.2299138798886992e-18,0
4.106684119465115e-22,5.1569794016304567e-24,4.0551143254488103e-22,1,9.9843022501622189e-21,3.0186130758505382e-24,9.9812836370863691e-21,1,5.6635927057213999e-14,1.0597706318479798e-16,5.6529949994029203e-14,1,1.0595779355417414e-12,1.2785622581904136e-15,1.058299373283551e-12,1,1.1041957777911114e-12,4.8244442733377764e-16,1.1037133333637777e-12,1,2.3861208642094792e-10,3.685181947194069e-12,2.3492690447375385e-10,1
1.4127913225351409e-51,4.146452620508361e-59,1.4127912810706146e-51,1,1.0881247314939324e-57,1.8050970560706758e-62,1.0881066805233717e-57,1,2.8175503586208896e-45,1.0442136340302341e-50,2.817539916484549e-45,1,1.2324904317254722e-33,5.4752631903326068e-32,-5.3520141471600591e-32,0,2.0470115166622828e-31,2.5486932033426177e-35,2.0467566473419484e-31,1,9.9289058809385635e-24,5.2526478867707873e-25,9.4036410922614845e-24,1
